session_date,xnas_close_utc,btc_candle_start,btc_close_at_xnas,matched
2025-06-23,2025-06-23 20:00:00+00:00,2025-06-23 19:00:00+00:00,103243.85,True
2025-06-24,2025-06-24 20:00:00+00:00,2025-06-24 19:00:00+00:00,105710.77,True
2025-06-25,2025-06-25 20:00:00+00:00,2025-06-25 19:00:00+00:00,107836.0,True
2025-06-26,2025-06-26 20:00:00+00:00,2025-06-26 19:00:00+00:00,107584.79,True
2025-06-27,2025-06-27 20:00:00+00:00,2025-06-27 19:00:00+00:00,106851.43,True
2025-06-30,2025-06-30 20:00:00+00:00,2025-06-30 19:00:00+00:00,107751.68,True
2025-07-01,2025-07-01 20:00:00+00:00,2025-07-01 19:00:00+00:00,105403.99,True
2025-07-02,2025-07-02 20:00:00+00:00,2025-07-02 19:00:00+00:00,109755.27,True
2025-07-03,2025-07-03 17:00:00+00:00,2025-07-03 16:00:00+00:00,109316.08,True
2025-07-07,2025-07-07 20:00:00+00:00,2025-07-07 19:00:00+00:00,108058.12,True
2025-07-08,2025-07-08 20:00:00+00:00,2025-07-08 19:00:00+00:00,108781.37,True
2025-07-09,2025-07-09 20:00:00+00:00,2025-07-09 19:00:00+00:00,111792.0,True
2025-07-10,2025-07-10 20:00:00+00:00,2025-07-10 19:00:00+00:00,113399.95,True
2025-07-11,2025-07-11 20:00:00+00:00,2025-07-11 19:00:00+00:00,118191.06,True
2025-07-14,2025-07-14 20:00:00+00:00,2025-07-14 19:00:00+00:00,119945.25,True
2025-07-15,2025-07-15 20:00:00+00:00,2025-07-15 19:00:00+00:00,116410.21,True
2025-07-16,2025-07-16 20:00:00+00:00,2025-07-16 19:00:00+00:00,119304.15,True
2025-07-17,2025-07-17 20:00:00+00:00,2025-07-17 19:00:00+00:00,119032.03,True
2025-07-18,2025-07-18 20:00:00+00:00,2025-07-18 19:00:00+00:00,117426.36,True
2025-07-21,2025-07-21 20:00:00+00:00,2025-07-21 19:00:00+00:00,116782.87,True
2025-07-22,2025-07-22 20:00:00+00:00,2025-07-22 19:00:00+00:00,119326.44,True
2025-07-23,2025-07-23 20:00:00+00:00,2025-07-23 19:00:00+00:00,118458.67,True
2025-07-24,2025-07-24 20:00:00+00:00,2025-07-24 19:00:00+00:00,119030.64,True
2025-07-25,2025-07-25 20:00:00+00:00,2025-07-25 19:00:00+00:00,116721.63,True
2025-07-28,2025-07-28 20:00:00+00:00,2025-07-28 19:00:00+00:00,118066.31,True
2025-07-29,2025-07-29 20:00:00+00:00,2025-07-29 19:00:00+00:00,117483.28,True
2025-07-30,2025-07-30 20:00:00+00:00,2025-07-30 19:00:00+00:00,116900.01,True
2025-07-31,2025-07-31 20:00:00+00:00,2025-07-31 19:00:00+00:00,116757.77,True
